crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
5A,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHWEST,Northwest Community Action,OTHER/RESIDENTIAL,May,night
6F,LARCENY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Carroll - Camden Industrial Area,STREET,May,morning
9S,SHOOTING,Outside,FIREARM,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,DARLEY PARK,STREET,May,evening
9S,SHOOTING,Outside,FIREARM,Male,20.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,DARLEY PARK,STREET,May,evening
6F,LARCENY,Outside,NO_Weapon_Involved,Female,33.0,WHITE,NORTHEAST,Glenham-Belhar,OTHER/RESIDENTIAL,May,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Male,60.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Old Goucher,OTHER/RESIDENTIAL,May,morning
6J,LARCENY,Outside,NO_Weapon_Involved,Female,29.0,WHITE,SOUTHERN,Riverside,OTHER/RESIDENTIAL,May,afternoon
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,44.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,STREET,May,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Woodmere,STREET,May,night
6F,LARCENY,Outside,NO_Weapon_Involved,Male,35.0,WHITE,CENTRAL,Mid-Town Belvedere,RESTAURANT,May,evening
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Moravia-Walther,STREET,May,morning
3BJ,ROBBERY - CARJACKING,Inside,NO_Weapon_Involved,Female,27.0,WHITE,CENTRAL,Madison Park,STREET,May,night
4A,AGG. ASSAULT,Inside,FIREARM,Male,25.0,Unknown,SOUTHERN,Lakeland,GAS STATION,May,night
4C,AGG. ASSAULT,Outside,ASPHYXIATION,Female,18.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Berea,OTHER/RESIDENTIAL,May,night
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Biddle Street,PUBLIC BUILDING,May,night
