crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
1A,HOMICIDE,Outside,FIREARM,Male,44.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,ARLINGTON,PUBLIC AREA,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DOWNTOWN,PUBLIC AREA,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,42.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,IRVINGTON,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,GLEN,STREET,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,34.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,MADISON PARK,PARKING LOT,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CHERRY HILL,PUBLIC AREA,December,evening
9S,SHOOTING,Outside,FIREARM,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,WOODMERE,STREET,December,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,46.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,STREET,December,evening
9S,SHOOTING,Outside,FIREARM,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,STREET,December,evening
9S,SHOOTING,Outside,FIREARM,Male,39.0,WHITE,SOUTHERN,BROOKLYN,STREET,December,night
1A,HOMICIDE,Outside,FIREARM,Male,30.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,UNIVERSITY OF MARYLAND,COMMON BUSINESS,December,afternoon
9S,SHOOTING,Outside,FIREARM,Female,51.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,PENN NORTH,PUBLIC AREA,December,night
9S,SHOOTING,Outside,FIREARM,Male,41.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,PENN NORTH,PUBLIC AREA,December,night
1A,HOMICIDE,Outside,FIREARM,Male,21.0,Other,SOUTHERN,LAKELAND,STREET,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CARROLLTON RIDGE,STREET,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,53.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,PENN NORTH,PUBLIC AREA,December,night
1K,HOMICIDE,Outside,KNIFE,Male,60.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,HARLEM PARK,STREET,December,evening
9S,SHOOTING,Outside,FIREARM,Male,17.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,PARKLANE,STREET,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,HAMPDEN,PUBLIC AREA,December,morning
9S,SHOOTING,Outside,FIREARM,Male,48.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,SAINT JOSEPHS,COMMON BUSINESS,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,26.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,ROSEMONT,STREET,December,night
1A,HOMICIDE,Inside,FIREARM,Male,20.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,MONDAWMIN,PUBLIC AREA,December,evening
9S,SHOOTING,Outside,FIREARM,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,STREET,December,night
1A,HOMICIDE,Outside,FIREARM,Male,50.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,ARLINGTON,PUBLIC AREA,December,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,40.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,MADISON-EASTEND,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Male,30.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,UNIVERSITY OF MARYLAND,STREET,December,night
6J,LARCENY,Outside,NO_Weapon_Involved,Male,37.01136895019874,WHITE,CENTRAL,DOWNTOWN,STREET,December,morning
9S,SHOOTING,Outside,FIREARM,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,BOLTON HILL,STREET,December,evening
4E,COMMON ASSAULT,Outside,NO_Weapon_Involved,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DOWNTOWN,STREET,December,afternoon
9S,SHOOTING,Outside,FIREARM,Male,28.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,FRANKLIN SQUARE,STREET,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,21.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,CEDONIA,VEHICLE,December,evening
9S,SHOOTING,Outside,FIREARM,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DRUID HEIGHTS,ALLEY,December,evening
1A,HOMICIDE,Inside,FIREARM,Male,28.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,GAY STREET,DWELLING,December,morning
9S,SHOOTING,Outside,FIREARM,Male,48.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,PARK CIRCLE,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Female,14.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,FRANKLIN SQUARE,STREET,December,night
9S,SHOOTING,Outside,FIREARM,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,WASHINGTON VILLAGE/PIGTOWN,STREET,December,morning
9S,SHOOTING,Outside,FIREARM,Male,21.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,BROOKLYN,ALLEY,December,afternoon
1A,HOMICIDE,Outside,FIREARM,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,STREET,November,evening
9S,SHOOTING,Outside,FIREARM,Male,24.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,WINCHESTER,STREET,November,morning
9S,SHOOTING,Outside,FIREARM,Male,42.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,GRACELAND PARK,STREET,November,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,26.0,Other,SOUTHEAST,Patterson Park,STREET,October,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,25.0,Unknown,SOUTHWEST,Morrell Park,STREET,October,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,66.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Edmondson Village,OTHER/RESIDENTIAL,October,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,67.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Oliver,STREET,October,afternoon
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,37.0,WHITE,NORTHERN,Better Waverly,OTHER/RESIDENTIAL,October,afternoon
6J,LARCENY,Inside,NO_Weapon_Involved,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,STREET,October,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Female,25.0,WHITE,SOUTHEAST,Fells Point,TAVERN/NIGHT CLUB,October,night
1A,HOMICIDE,Outside,FIREARM,Male,34.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,OLIVER,STREET,November,night
6F,LARCENY,Outside,NO_Weapon_Involved,Female,30.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Butcher's Hill,OTHER/RESIDENTIAL,October,evening
6G,LARCENY,Outside,NO_Weapon_Involved,Female,71.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Berea,OTHER/RESIDENTIAL,October,afternoon
6J,LARCENY,Inside,NO_Weapon_Involved,Female,65.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,STREET,October,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,58.0,Unknown,SOUTHWEST,Carrollton Ridge,STREET,October,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Female,22.0,WHITE,NORTHEAST,Lauraville,STREET,October,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,61.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Central Park Heights,OTHER/RESIDENTIAL,October,afternoon
6G,LARCENY,Outside,NO_Weapon_Involved,Male,50.0,WHITE,SOUTHWEST,Edgewood,OTHER/RESIDENTIAL,October,afternoon
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,38.0,Unknown,CENTRAL,Downtown,RESTAURANT,October,evening
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,37.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,RESTAURANT,October,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,54.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,McElderry Park,UNKNOWN,October,afternoon
6F,LARCENY,Inside,NO_Weapon_Involved,Male,35.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Canton,STREET,October,evening
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,37.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Westfield,OTHER/RESIDENTIAL,October,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,28.0,WHITE,NORTHWEST,Howard Park,OTHER/RESIDENTIAL,October,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Bridgeview/Greenlawn,STREET,October,morning
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,MIDDLE EAST,STREET,October,afternoon
6J,LARCENY,Outside,NO_Weapon_Involved,Female,36.0,WHITE,CENTRAL,DOWNTOWN,STREET,November,morning
4C,AGG. ASSAULT,Outside,UNKNOWN,Female,38.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Central Park Heights,OTHER/RESIDENTIAL,October,afternoon
4B,AGG. ASSAULT,Inside,BLUNT_OBJECT,Male,36.0,WHITE,SOUTHERN,Brooklyn,STREET,October,afternoon
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,30.0,WHITE,SOUTHEAST,Upper Fells Point,OTHER/RESIDENTIAL,October,evening
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Female,37.0,Other,SOUTHEAST,McElderry Park,OTHER/RESIDENTIAL,October,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,69.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Ashburton,STREET,October,evening
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Female,36.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Milton-Montford,STREET,October,morning
4B,AGG. ASSAULT,Inside,PERSONAL_WEAPONS,Female,59.0,WHITE,CENTRAL,Milton-Montford,STREET,October,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,34.0,WHITE,SOUTHEAST,Butcher's Hill,STREET,October,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Madison-Eastend,STREET,October,night
6F,LARCENY,Outside,NO_Weapon_Involved,Male,40.0,Unknown,SOUTHEAST,Pulaski Industrial Area,UNKNOWN,October,morning
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Male,55.0,Unknown,SOUTHWEST,Mount Holly,STREET,October,afternoon
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Male,27.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Hollins Market,OTHER/RESIDENTIAL,October,afternoon
6J,LARCENY,Inside,NO_Weapon_Involved,Male,56.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Rosemont East,STREET,October,afternoon
6F,LARCENY,Outside,NO_Weapon_Involved,Female,54.0,WHITE,CENTRAL,Mount Vernon,OFFICE BUILDING,October,morning
7C,AUTO THEFT,Inside,NO_Weapon_Involved,Male,31.0,WHITE,SOUTHEAST,Patterson Park Neighborhood,STREET,October,evening
6D,LARCENY FROM AUTO,Outside,NO_Weapon_Involved,Female,54.0,WHITE,SOUTHERN,Brooklyn,OTHER/RESIDENTIAL,October,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,28.0,WHITE,SOUTHEAST,LITTLE ITALY,STREET,October,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,LITTLE ITALY,SHED/GARAGE,October,morning
6D,LARCENY FROM AUTO,Outside,NO_Weapon_Involved,Female,41.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Glen,OTHER/RESIDENTIAL,October,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,52.0,WHITE,SOUTHWEST,Morrell Park,OTHER/RESIDENTIAL,October,afternoon
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,53.0,WHITE,SOUTHWEST,Morrell Park,OTHER/RESIDENTIAL,October,afternoon
4C,AGG. ASSAULT,Inside,OTHER,Female,56.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Johnston Square,STREET,October,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,28.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Johnston Square,STREET,October,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,23.0,Unknown,CENTRAL,Downtown,SHED/GARAGE,October,evening
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,66.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Concerned Citizens Of Forest Park,OTHER/RESIDENTIAL,October,afternoon
3EO,ROBBERY,Inside,BLUNT_OBJECT,Male,18.0,Unknown,SOUTHWEST,Morrell Park,GAS STATION,October,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Curtis Bay,STREET,October,evening
8J,ARSON,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Carroll - Camden Industrial Area,MINI STORAGE LOCKERS,October,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Brooklyn,STREET,October,night
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Downtown West,TAVERN/NIGHT CLUB,October,night
3CO,ROBBERY - COMMERCIAL,Outside,KNIFE_CUTTING_INSTRUMENT,Not Specified,37.01136895019874,Unknown,CENTRAL,Downtown,CONVENIENCE STORE,October,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHEAST,Frankford,SHED/GARAGE,October,afternoon
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHWEST,Reisterstown Station,OFFICE BUILDING,October,evening
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,Fells Point,TAVERN/NIGHT CLUB,October,night
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,CENTRAL,Downtown,CONVENIENCE STORE,October,morning
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,CENTRAL,Mid-Town Belvedere,OFFICE BUILDING,October,night
6F,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,Greektown,OTHER/RESIDENTIAL,October,morning
5A,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHEAST,Coldstream Homestead Montebello,OTHER/RESIDENTIAL,October,afternoon
6F,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,Washington Hill,OFFICE BUILDING,October,evening
5F,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,Highlandtown,UNKNOWN,October,afternoon
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,51.0,WHITE,SOUTHERN,Riverside,STREET,October,afternoon
3AO,ROBBERY,Inside,UNKNOWN,Female,25.0,Unknown,NORTHERN,Pen Lucy,STREET,October,night
3AJF,ROBBERY - CARJACKING,Inside,HANDGUN,Male,19.0,WHITE,NORTHERN,Hampden,STREET,October,night
3AJF,ROBBERY - CARJACKING,Inside,HANDGUN,Female,16.0,WHITE,NORTHERN,Hampden,STREET,October,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,68.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Four By Four,STREET,October,night
6J,LARCENY,Inside,NO_Weapon_Involved,Female,22.0,WHITE,SOUTHEAST,Canton,STREET,October,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,37.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Pleasant View Gardens,OTHER/RESIDENTIAL,October,afternoon
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,7.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,New Northwood,OTHER/RESIDENTIAL,October,night
4E,COMMON ASSAULT,Outside,OTHER,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,O'Donnell Heights,OTHER/RESIDENTIAL,October,night
9S,SHOOTING,Outside,FIREARM,Male,26.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,CEDONIA,PARKING LOT,November,evening
9S,SHOOTING,Outside,FIREARM,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,HILLEN,STREET,December,evening
9S,SHOOTING,Outside,FIREARM,Male,49.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,MEDFIELD,STREET,November,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,31.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Upton,OTHER/RESIDENTIAL,October,night
9S,SHOOTING,Outside,FIREARM,Male,28.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,DRUID HILL PARK,STREET,October,afternoon
9S,SHOOTING,Inside,FIREARM,Male,33.0,WHITE,SOUTHEAST,INNER HARBOR,COMMON BUSINESS,October,morning
9S,SHOOTING,Outside,FIREARM,Female,18.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,EAST BALTIMORE MIDWAY,PARKING LOT,October,afternoon
9S,SHOOTING,Outside,FIREARM,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,GLEN,COMMON BUSINESS,October,morning
9S,SHOOTING,Outside,FIREARM,Male,18.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,GLENHAM-BELHAR,STREET,October,night
1A,HOMICIDE,Outside,FIREARM,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,GLEN,STREET,October,evening
1A,HOMICIDE,Inside,FIREARM,Male,26.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,BROOKLYN,DWELLING,December,night
1A,HOMICIDE,Outside,FIREARM,Male,56.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,HILLEN,STREET,December,evening
1A,HOMICIDE,Outside,FIREARM,Male,40.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,SANDTOWN-WINCHESTER,VEHICLE,October,afternoon
4B,AGG. ASSAULT,Inside,BLUNT_OBJECT,Male,56.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,CENTRAL PARK HEIGHTS,STREET,October,afternoon
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,19.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,October,evening
5B,BURGLARY,Outside,NO_Weapon_Involved,Male,37.01136895019874,Unknown,SOUTHERN,Downtown West,TAVERN/NIGHT CLUB,October,night
6F,LARCENY,Inside,NO_Weapon_Involved,Male,31.0,WHITE,SOUTHWEST,Morrell Park,STREET,October,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Male,61.0,WHITE,SOUTHEAST,Canton,SHED/GARAGE,October,night
6F,LARCENY,Outside,NO_Weapon_Involved,Female,27.0,WHITE,SOUTHEAST,Canton Industrial Area,OTHER/RESIDENTIAL,October,morning
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,64.0,WHITE,NORTHEAST,North Harford Road,OTHER/RESIDENTIAL,October,morning
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,44.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Pleasant View Gardens,OTHER/RESIDENTIAL,October,afternoon
6F,LARCENY,Outside,NO_Weapon_Involved,Male,33.0,WHITE,SOUTHEAST,Canton,OTHER/RESIDENTIAL,October,evening
3GK,ROBBERY,Outside,KNIFE_CUTTING_INSTRUMENT,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,CONVENIENCE STORE,October,evening
6F,LARCENY,Inside,NO_Weapon_Involved,Female,39.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Canton,STREET,October,evening
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Male,15.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Pen Lucy,OTHER/RESIDENTIAL,October,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,60.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Towanda-Grantley,STREET,October,evening
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,8.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,New Northwood,OTHER/RESIDENTIAL,October,night
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,30.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,New Northwood,OTHER/RESIDENTIAL,October,night
4A,AGG. ASSAULT,Outside,FIREARM,Male,31.0,Unknown,WESTERN,Harlem Park,CONVENIENCE STORE,October,night
3AF,ROBBERY,Inside,HANDGUN,Male,23.0,WHITE,SOUTHERN,South Baltimore,STREET,October,night
3AF,ROBBERY,Inside,HANDGUN,Male,23.0,WHITE,SOUTHERN,South Baltimore,STREET,October,night
4B,AGG. ASSAULT,Inside,PERSONAL_WEAPONS,Female,24.0,WHITE,NORTHERN,Charles Village,STREET,October,night
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Male,32.0,WHITE,SOUTHERN,Carrollton Ridge,OTHER/RESIDENTIAL,October,night
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Female,26.0,WHITE,SOUTHERN,Carrollton Ridge,OTHER/RESIDENTIAL,October,night
4A,AGG. ASSAULT,Inside,HANDGUN,Female,44.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,South Clifton Park,GAS STATION,October,night
4A,AGG. ASSAULT,Inside,HANDGUN,Male,46.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,South Clifton Park,GAS STATION,October,night
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Female,22.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Brooklyn,OTHER/RESIDENTIAL,October,afternoon
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,27.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Brooklyn,STREET,October,night
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,52.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Callaway-Garrison,OTHER/RESIDENTIAL,October,evening
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Male,59.0,Unknown,SOUTHEAST,McElderry Park,STREET,October,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,0.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Coldstream Homestead Montebello,OTHER/RESIDENTIAL,October,evening
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,24.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Coldstream Homestead Montebello,OTHER/RESIDENTIAL,October,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Male,21.0,WHITE,CENTRAL,Mount Vernon,STREET,October,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,60.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Madison-Eastend,STREET,October,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,48.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,STREET,October,evening
9S,SHOOTING,Outside,FIREARM,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,BROOKLYN,ALLEY,October,night
9S,SHOOTING,Outside,FIREARM,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,BROADWAY EAST,STREET,October,morning
9S,SHOOTING,Outside,FIREARM,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CARROLLTON RIDGE,STREET,November,evening
9S,SHOOTING,Outside,FIREARM,Female,38.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CARROLLTON RIDGE,STREET,November,evening
9S,SHOOTING,Outside,FIREARM,Male,53.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CARROLLTON RIDGE,STREET,November,evening
9S,SHOOTING,Outside,FIREARM,Male,17.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CARROLLTON RIDGE,STREET,November,evening
9S,SHOOTING,Outside,FIREARM,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,BROENING MANOR,COMMON BUSINESS,November,night
1A,HOMICIDE,Outside,FIREARM,Male,40.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,JOHNSTON SQUARE,STREET,November,night
3NO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,24.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Carroll - Camden Industrial Area,UNKNOWN,October,evening
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Hamilton Hills,OTHER/RESIDENTIAL,October,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,47.0,Other,CENTRAL,Mount Vernon,RESTAURANT,October,evening
3CK,ROBBERY - COMMERCIAL,Outside,KNIFE_CUTTING_INSTRUMENT,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,SPECIALTY STORE,October,evening
7B,AUTO THEFT,Outside,NO_Weapon_Involved,Female,27.0,WHITE,SOUTHERN,Brooklyn,SCHOOL,October,morning
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Ednor Gardens-Lakeside,OTHER/RESIDENTIAL,October,night
4E,COMMON ASSAULT,Inside,UNKNOWN,Male,46.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,STREET,October,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,57.0,Unknown,EASTERN,Darley Park,STREET,October,morning
4D,AGG. ASSAULT,Outside,NO_Weapon_Involved,Male,12.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Montebello,OTHER/RESIDENTIAL,October,morning
4E,COMMON ASSAULT,Inside,NO_Weapon_Involved,Not Specified,21.0,Unknown,SOUTHEAST,Ellwood Park/Monument,STREET,October,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Not Specified,28.0,WHITE,NORTHERN,Hampden,STREET,October,evening
